state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
MAINE,Real PCE,Obama 1,Barack Obama,2009-2013,3.24,0.82,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.37,"ROMNEY, MITT",REPUBLICAN,40.33
MARYLAND,Real PCE,Obama 1,Barack Obama,2009-2013,6.58,1.62,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.97,"ROMNEY, MITT",REPUBLICAN,35.9
MASSACHUSETTS,Real PCE,Obama 1,Barack Obama,2009-2013,7.6,1.85,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.34,"ROMNEY, MITT",REPUBLICAN,37.32
MICHIGAN,Real PCE,Obama 1,Barack Obama,2009-2013,7.98,1.94,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.21,"ROMNEY, MITT",REPUBLICAN,44.71
MINNESOTA,Real PCE,Obama 1,Barack Obama,2009-2013,7.69,1.87,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,44.96,"ROMNEY, MITT",REPUBLICAN,44.96
MISSISSIPPI,Real PCE,Obama 1,Barack Obama,2009-2013,0.81,0.2,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.29,"OBAMA, BARACK H.",DEMOCRAT,43.79
MISSOURI,Real PCE,Obama 1,Barack Obama,2009-2013,2.62,0.66,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.76,"OBAMA, BARACK H.",DEMOCRAT,44.38
MONTANA,Real PCE,Obama 1,Barack Obama,2009-2013,10.32,2.5,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.35,"OBAMA, BARACK H.",DEMOCRAT,41.7
NEBRASKA,Real PCE,Obama 1,Barack Obama,2009-2013,7.24,1.77,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.8,"OBAMA, BARACK H.",DEMOCRAT,38.03
NEVADA,Real PCE,Obama 1,Barack Obama,2009-2013,8.84,2.15,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.36,"ROMNEY, MITT",REPUBLICAN,45.68
NEW HAMPSHIRE,Real PCE,Obama 1,Barack Obama,2009-2013,6.67,1.63,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.98,"ROMNEY, MITT",REPUBLICAN,46.4
NEW JERSEY,Real PCE,Obama 1,Barack Obama,2009-2013,5.34,1.32,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.34,"ROMNEY, MITT",REPUBLICAN,40.62
NEW MEXICO,Real PCE,Obama 1,Barack Obama,2009-2013,4.88,1.21,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.99,"ROMNEY, MITT",REPUBLICAN,42.84
NEW YORK,Real PCE,Obama 1,Barack Obama,2009-2013,9.07,2.2,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.76,"ROMNEY, MITT",REPUBLICAN,31.24
NORTH CAROLINA,Real PCE,Obama 1,Barack Obama,2009-2013,5.39,1.32,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,50.39,"OBAMA, BARACK H.",DEMOCRAT,48.35
NORTH DAKOTA,Real PCE,Obama 1,Barack Obama,2009-2013,22.3,5.18,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,58.32,"OBAMA, BARACK H.",DEMOCRAT,38.7
OHIO,Real PCE,Obama 1,Barack Obama,2009-2013,6.86,1.68,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.67,"ROMNEY, MITT",REPUBLICAN,47.69
OKLAHOMA,Real PCE,Obama 1,Barack Obama,2009-2013,5.1,1.25,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,66.77,"OBAMA, BARACK H.",DEMOCRAT,33.23
OREGON,Real PCE,Obama 1,Barack Obama,2009-2013,5.3,1.31,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.24,"ROMNEY, MITT",REPUBLICAN,42.15
PENNSYLVANIA,Real PCE,Obama 1,Barack Obama,2009-2013,6.87,1.68,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.08,"ROMNEY, MITT",REPUBLICAN,46.68
RHODE ISLAND,Real PCE,Obama 1,Barack Obama,2009-2013,4.25,1.05,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.7,"ROMNEY, MITT",REPUBLICAN,35.24
SOUTH CAROLINA,Real PCE,Obama 1,Barack Obama,2009-2013,4.56,1.12,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.56,"OBAMA, BARACK H.",DEMOCRAT,44.09
SOUTH DAKOTA,Real PCE,Obama 1,Barack Obama,2009-2013,5.23,1.29,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.89,"OBAMA, BARACK H.",DEMOCRAT,39.87
TENNESSEE,Real PCE,Obama 1,Barack Obama,2009-2013,3.4,0.84,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.48,"OBAMA, BARACK H.",DEMOCRAT,39.08
TEXAS,Real PCE,Obama 1,Barack Obama,2009-2013,11.47,2.76,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.17,"OBAMA, BARACK H.",DEMOCRAT,41.38
UTAH,Real PCE,Obama 1,Barack Obama,2009-2013,10.58,2.56,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,72.79,"OBAMA, BARACK H.",DEMOCRAT,24.75
VERMONT,Real PCE,Obama 1,Barack Obama,2009-2013,6.77,1.66,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,66.57,"ROMNEY, MITT",REPUBLICAN,30.97
VIRGINIA,Real PCE,Obama 1,Barack Obama,2009-2013,4.36,1.08,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.16,"ROMNEY, MITT",REPUBLICAN,47.28
WASHINGTON,Real PCE,Obama 1,Barack Obama,2009-2013,10.05,2.43,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.16,"ROMNEY, MITT",REPUBLICAN,41.29
WEST VIRGINIA,Real PCE,Obama 1,Barack Obama,2009-2013,1.83,0.46,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,62.3,"OBAMA, BARACK H.",DEMOCRAT,35.54
WISCONSIN,Real PCE,Obama 1,Barack Obama,2009-2013,4.35,1.08,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.78,"ROMNEY, MITT",REPUBLICAN,45.94
WYOMING,Real PCE,Obama 1,Barack Obama,2009-2013,7.73,1.89,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,68.19,"OBAMA, BARACK H.",DEMOCRAT,27.64
