state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
INDIANA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.36,0.83,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.13,"OBAMA, BARACK H.",DEMOCRAT,43.93
IOWA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,2.46,0.62,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.99,"ROMNEY, MITT",REPUBLICAN,46.18
KANSAS,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,-0.25,-0.06,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.71,"OBAMA, BARACK H.",DEMOCRAT,37.99
KENTUCKY,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,-0.13,-0.03,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.49,"OBAMA, BARACK H.",DEMOCRAT,37.8
LOUISIANA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.47,0.12,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.78,"OBAMA, BARACK H.",DEMOCRAT,40.58
MAINE,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.01,0.77,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.37,"ROMNEY, MITT",REPUBLICAN,40.33
MARYLAND,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,2.43,0.61,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.97,"ROMNEY, MITT",REPUBLICAN,35.9
MASSACHUSETTS,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.8,0.94,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.34,"ROMNEY, MITT",REPUBLICAN,37.32
MICHIGAN,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,7.48,1.82,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.21,"ROMNEY, MITT",REPUBLICAN,44.71
MINNESOTA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,4.73,1.16,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,44.96,"ROMNEY, MITT",REPUBLICAN,44.96
MISSISSIPPI,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,-0.13,-0.03,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.29,"OBAMA, BARACK H.",DEMOCRAT,43.79
MISSOURI,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.21,0.31,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.76,"OBAMA, BARACK H.",DEMOCRAT,44.38
MONTANA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,6.84,1.68,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.35,"OBAMA, BARACK H.",DEMOCRAT,41.7
NEBRASKA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.77,0.94,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.8,"OBAMA, BARACK H.",DEMOCRAT,38.03
NEVADA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.48,1.35,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.36,"ROMNEY, MITT",REPUBLICAN,45.68
NEW HAMPSHIRE,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.47,1.34,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.98,"ROMNEY, MITT",REPUBLICAN,46.4
NEW JERSEY,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,2.65,0.67,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.34,"ROMNEY, MITT",REPUBLICAN,40.62
NEW MEXICO,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.9,0.48,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.99,"ROMNEY, MITT",REPUBLICAN,42.84
NEW YORK,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.86,1.44,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.76,"ROMNEY, MITT",REPUBLICAN,31.24
NORTH CAROLINA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.59,0.4,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,50.39,"OBAMA, BARACK H.",DEMOCRAT,48.35
NORTH DAKOTA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,11.8,2.84,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,58.32,"OBAMA, BARACK H.",DEMOCRAT,38.7
OHIO,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,6.1,1.49,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.67,"ROMNEY, MITT",REPUBLICAN,47.69
OKLAHOMA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.54,0.39,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,66.77,"OBAMA, BARACK H.",DEMOCRAT,33.23
OREGON,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,2.2,0.55,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.24,"ROMNEY, MITT",REPUBLICAN,42.15
PENNSYLVANIA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.37,1.32,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.08,"ROMNEY, MITT",REPUBLICAN,46.68
RHODE ISLAND,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,2.83,0.7,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.7,"ROMNEY, MITT",REPUBLICAN,35.24
SOUTH CAROLINA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.24,0.31,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.56,"OBAMA, BARACK H.",DEMOCRAT,44.09
SOUTH DAKOTA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.96,0.25,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.89,"OBAMA, BARACK H.",DEMOCRAT,39.87
TENNESSEE,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.2,0.05,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.48,"OBAMA, BARACK H.",DEMOCRAT,39.08
TEXAS,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,4.57,1.13,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.17,"OBAMA, BARACK H.",DEMOCRAT,41.38
UTAH,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.56,0.89,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,72.79,"OBAMA, BARACK H.",DEMOCRAT,24.75
VERMONT,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.42,1.34,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,66.57,"ROMNEY, MITT",REPUBLICAN,30.97
VIRGINIA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.02,0.01,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.16,"ROMNEY, MITT",REPUBLICAN,47.28
WASHINGTON,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.21,1.28,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.16,"ROMNEY, MITT",REPUBLICAN,41.29
WEST VIRGINIA,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.34,0.34,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,62.3,"OBAMA, BARACK H.",DEMOCRAT,35.54
WISCONSIN,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,2.76,0.69,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.78,"ROMNEY, MITT",REPUBLICAN,45.94
WYOMING,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.82,0.95,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,68.19,"OBAMA, BARACK H.",DEMOCRAT,27.64
