state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
KANSAS,Real GDP,Obama 1,Barack Obama,2009-2013,6.2,1.52,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.71,"OBAMA, BARACK H.",DEMOCRAT,37.99
KENTUCKY,Real GDP,Obama 1,Barack Obama,2009-2013,10.43,2.52,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.49,"OBAMA, BARACK H.",DEMOCRAT,37.8
LOUISIANA,Real GDP,Obama 1,Barack Obama,2009-2013,-2.23,-0.5,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.78,"OBAMA, BARACK H.",DEMOCRAT,40.58
MAINE,Real GDP,Obama 1,Barack Obama,2009-2013,0.41,0.11,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.37,"ROMNEY, MITT",REPUBLICAN,40.33
MARYLAND,Real GDP,Obama 1,Barack Obama,2009-2013,8.43,2.06,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.97,"ROMNEY, MITT",REPUBLICAN,35.9
MASSACHUSETTS,Real GDP,Obama 1,Barack Obama,2009-2013,10.35,2.5,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.34,"ROMNEY, MITT",REPUBLICAN,37.32
MICHIGAN,Real GDP,Obama 1,Barack Obama,2009-2013,13.57,3.24,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.21,"ROMNEY, MITT",REPUBLICAN,44.71
MINNESOTA,Real GDP,Obama 1,Barack Obama,2009-2013,11.08,2.66,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,44.96,"ROMNEY, MITT",REPUBLICAN,44.96
MISSISSIPPI,Real GDP,Obama 1,Barack Obama,2009-2013,3.49,0.86,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.29,"OBAMA, BARACK H.",DEMOCRAT,43.79
MISSOURI,Real GDP,Obama 1,Barack Obama,2009-2013,4.3,1.07,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.76,"OBAMA, BARACK H.",DEMOCRAT,44.38
MONTANA,Real GDP,Obama 1,Barack Obama,2009-2013,10.2,2.46,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.35,"OBAMA, BARACK H.",DEMOCRAT,41.7
NEBRASKA,Real GDP,Obama 1,Barack Obama,2009-2013,11.4,2.76,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.8,"OBAMA, BARACK H.",DEMOCRAT,38.03
NEVADA,Real GDP,Obama 1,Barack Obama,2009-2013,3.03,0.75,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.36,"ROMNEY, MITT",REPUBLICAN,45.68
NEW HAMPSHIRE,Real GDP,Obama 1,Barack Obama,2009-2013,7.1,1.74,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.98,"ROMNEY, MITT",REPUBLICAN,46.4
NEW JERSEY,Real GDP,Obama 1,Barack Obama,2009-2013,4.5,1.12,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.34,"ROMNEY, MITT",REPUBLICAN,40.62
NEW MEXICO,Real GDP,Obama 1,Barack Obama,2009-2013,-0.8,-0.2,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.99,"ROMNEY, MITT",REPUBLICAN,42.84
NEW YORK,Real GDP,Obama 1,Barack Obama,2009-2013,8.87,2.16,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.76,"ROMNEY, MITT",REPUBLICAN,31.24
NORTH CAROLINA,Real GDP,Obama 1,Barack Obama,2009-2013,5.03,1.24,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,50.39,"OBAMA, BARACK H.",DEMOCRAT,48.35
NORTH DAKOTA,Real GDP,Obama 1,Barack Obama,2009-2013,52.04,11.3,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,58.32,"OBAMA, BARACK H.",DEMOCRAT,38.7
OHIO,Real GDP,Obama 1,Barack Obama,2009-2013,9.45,2.29,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.67,"ROMNEY, MITT",REPUBLICAN,47.69
OKLAHOMA,Real GDP,Obama 1,Barack Obama,2009-2013,12.26,2.95,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,66.77,"OBAMA, BARACK H.",DEMOCRAT,33.23
OREGON,Real GDP,Obama 1,Barack Obama,2009-2013,7.15,1.75,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.24,"ROMNEY, MITT",REPUBLICAN,42.15
PENNSYLVANIA,Real GDP,Obama 1,Barack Obama,2009-2013,9.14,2.21,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.08,"ROMNEY, MITT",REPUBLICAN,46.68
RHODE ISLAND,Real GDP,Obama 1,Barack Obama,2009-2013,4.69,1.16,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.7,"ROMNEY, MITT",REPUBLICAN,35.24
SOUTH CAROLINA,Real GDP,Obama 1,Barack Obama,2009-2013,8.73,2.12,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.56,"OBAMA, BARACK H.",DEMOCRAT,44.09
SOUTH DAKOTA,Real GDP,Obama 1,Barack Obama,2009-2013,9.84,2.4,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.89,"OBAMA, BARACK H.",DEMOCRAT,39.87
TENNESSEE,Real GDP,Obama 1,Barack Obama,2009-2013,10.8,2.6,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.48,"OBAMA, BARACK H.",DEMOCRAT,39.08
TEXAS,Real GDP,Obama 1,Barack Obama,2009-2013,17.6,4.14,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.17,"OBAMA, BARACK H.",DEMOCRAT,41.38
UTAH,Real GDP,Obama 1,Barack Obama,2009-2013,10.74,2.59,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,72.79,"OBAMA, BARACK H.",DEMOCRAT,24.75
VERMONT,Real GDP,Obama 1,Barack Obama,2009-2013,6.52,1.61,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,66.57,"ROMNEY, MITT",REPUBLICAN,30.97
VIRGINIA,Real GDP,Obama 1,Barack Obama,2009-2013,6.23,1.53,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.16,"ROMNEY, MITT",REPUBLICAN,47.28
WASHINGTON,Real GDP,Obama 1,Barack Obama,2009-2013,12.45,2.98,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.16,"ROMNEY, MITT",REPUBLICAN,41.29
WEST VIRGINIA,Real GDP,Obama 1,Barack Obama,2009-2013,4.32,1.07,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,62.3,"OBAMA, BARACK H.",DEMOCRAT,35.54
WISCONSIN,Real GDP,Obama 1,Barack Obama,2009-2013,8.75,2.13,2012,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.78,"ROMNEY, MITT",REPUBLICAN,45.94
WYOMING,Real GDP,Obama 1,Barack Obama,2009-2013,-5.4,-1.36,2012,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,68.19,"OBAMA, BARACK H.",DEMOCRAT,27.64
