state,year,candidate,party_simplified,party_detailed,candidatevotes,totalvotes
MICHIGAN,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,1366,3651590
MICHIGAN,1976,"JULIUS """"JULES"""", LEVIN",OTHER,SOCIALIST LABOR,1148,3651590
MINNESOTA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,1070440,1949931
MINNESOTA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,819395,1949931
MINNESOTA,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,MCCARTHY '76,35490,1949931
MINNESOTA,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,13592,1949931
MINNESOTA,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,4149,1949931
MINNESOTA,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,3529,1949931
MINNESOTA,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,1092,1949931
MINNESOTA,1976,"WRIGHT, MARGARET",OTHER,PEOPLE'S,635,1949931
MINNESOTA,1976,"LAROUCHE, LYNDON, JR.",OTHER,INTERNATIONAL DEVELOPMENT BANK,543,1949931
MINNESOTA,1976,"JULIUS """"JULES"""", LEVIN",OTHER,INDUSTRIAL GOVERNMENT PARTY,370,1949931
MINNESOTA,1976,"ZEIDLER, FRANK",OTHER,SOCIALIST,354,1949931
MISSISSIPPI,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,381329,768390
MISSISSIPPI,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,366846,768390
MISSISSIPPI,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,6678,768390
MISSISSIPPI,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,4074,768390
MISSISSIPPI,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,4049,768390
MISSISSIPPI,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,2805,768390
MISSISSIPPI,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,2609,768390
MISSOURI,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,998387,1953600
MISSOURI,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,927443,1953600
MISSOURI,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,24029,1953600
MONTANA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,173703,328734
MONTANA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,149259,328734
MONTANA,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,5772,328734
NEBRASKA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,359219,606749
NEBRASKA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,233293,606749
NEBRASKA,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,9383,606749
NEBRASKA,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,3378,606749
NEBRASKA,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,1476,606749
NEVADA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,101273,201876
NEVADA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,92479,201876
NEVADA,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,1519,201876
NEVADA,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,1497,201876
NEW HAMPSHIRE,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,185935,339627
NEW HAMPSHIRE,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,147645,339627
NEW HAMPSHIRE,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,4095,339627
NEW HAMPSHIRE,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,936,339627
NEW HAMPSHIRE,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,186,339627
NEW HAMPSHIRE,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,161,339627
NEW HAMPSHIRE,1976,"JULIUS """"JULES"""", LEVIN",OTHER,SOCIALIST LABOR,66,339627
NEW JERSEY,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,1509688,3014472
NEW JERSEY,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,1444653,3014472
NEW JERSEY,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,32717,3014472
NEW JERSEY,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,9449,3014472
NEW JERSEY,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,7716,3014472
NEW JERSEY,1976,"JULIUS """"JULES"""", LEVIN",OTHER,SOCIALIST LABOR,3686,3014472
NEW JERSEY,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,1662,3014472
NEW JERSEY,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,1650,3014472
NEW JERSEY,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,1184,3014472
NEW JERSEY,1976,"WRIGHT, MARGARET",OTHER,PEACE & FREEDOM,1044,3014472
NEW JERSEY,1976,"BUBAR, BENJAMIN """"BEN""""",OTHER,PROHIBITION,554,3014472
NEW JERSEY,1976,"ZEIDLER, FRANK",OTHER,SOCIALIST,469,3014472
NEW MEXICO,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,211419,416590
NEW MEXICO,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,201148,416590
NEW MEXICO,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,2462,416590
NEW MEXICO,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,1110,416590
NEW MEXICO,1976,"ZEIDLER, FRANK",OTHER,SOCIALIST,240,416590
NEW MEXICO,1976,"BUBAR, BENJAMIN """"BEN""""",OTHER,PROHIBITION,211,416590
NEW YORK,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,3244165,6668262
NEW YORK,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,2825913,6668262
NEW YORK,1976,"FORD, GERALD",OTHER,CONSERVATIVE,274878,6668262
NEW YORK,1976,"CARTER, JIMMY",OTHER,LIBERAL PARTY,145393,6668262
NEW YORK,1976,"MACBRIDE, ROGER",OTHER,FREE LIBERTARIAN,12197,6668262
NEW YORK,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,10270,6668262
NEW YORK,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,6996,6668262
NEW YORK,1976,"LAROUCHE, LYNDON, JR.",OTHER,LABOR,5413,6668262
NORTH CAROLINA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,927365,1677906
NORTH CAROLINA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,741960,1677906
NORTH CAROLINA,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,5607,1677906
NORTH CAROLINA,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,2219,1677906
NORTH CAROLINA,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,755,1677906
NORTH DAKOTA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,153684,297308
NORTH DAKOTA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,136078,297308
NORTH DAKOTA,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,3698,297308
NORTH DAKOTA,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,2952,297308
NORTH DAKOTA,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,269,297308
NORTH DAKOTA,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,256,297308
NORTH DAKOTA,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,142,297308
NORTH DAKOTA,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,85,297308
NORTH DAKOTA,1976,"BUBAR, BENJAMIN """"BEN""""",OTHER,PROHIBITION,63,297308
NORTH DAKOTA,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,43,297308
NORTH DAKOTA,1976,"ZEIDLER, FRANK",OTHER,SOCIALIST,38,297308
OHIO,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,2009959,4110456
OHIO,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,2000626,4110456
OHIO,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,58267,4110456
OHIO,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,15508,4110456
OHIO,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,8952,4110456
OHIO,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,7817,4110456
OHIO,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,4833,4110456
OHIO,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,4364,4110456
OHIO,1976,"JULIUS """"JULES"""", LEVIN",OTHER,SOCIALIST LABOR,68,4110456
OHIO,1976,"BUBAR, BENJAMIN """"BEN""""",OTHER,PROHIBITION,62,4110456
OKLAHOMA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,545708,1092251
OKLAHOMA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,532442,1092251
OKLAHOMA,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,14101,1092251
OREGON,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,492120,1029876
OREGON,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,490407,1029876
OREGON,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,40207,1029876
OREGON,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,1035,1029876
PENNSYLVANIA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,2328677,4620787
PENNSYLVANIA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,2205604,4620787
PENNSYLVANIA,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,MCCARTHY '76,50584,4620787
PENNSYLVANIA,1976,"MADDOX, LESTER",OTHER,CONSTITUTION PARTY,25344,4620787
PENNSYLVANIA,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,3009,4620787
PENNSYLVANIA,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,2744,4620787
PENNSYLVANIA,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,1891,4620787
RHODE ISLAND,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,227636,410584
RHODE ISLAND,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,181249,410584
RHODE ISLAND,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,715,410584
RHODE ISLAND,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,462,410584
RHODE ISLAND,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,334,410584
RHODE ISLAND,1976,"JULIUS """"JULES"""", LEVIN",OTHER,SOCIALIST LABOR,188,410584
SOUTH CAROLINA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,450807,802583
SOUTH CAROLINA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,346149,802583
SOUTH CAROLINA,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,2996,802583
SOUTH CAROLINA,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,1950,802583
SOUTH DAKOTA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,151505,300678
SOUTH DAKOTA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,147068,300678
SOUTH DAKOTA,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,1619,300678
SOUTH DAKOTA,1976,"HALL, GUS",OTHER,COMMUNIST PARTY USE,318,300678
SOUTH DAKOTA,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,168,300678
TENNESSEE,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,825879,1476346
TENNESSEE,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,633969,1476346
TENNESSEE,1976,"ANDERSON, THOMAS J.",OTHER,INDEPENDENT,5769,1476346
TENNESSEE,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,5004,1476346
TENNESSEE,1976,"MADDOX, LESTER",OTHER,INDEPENDENT,2303,1476346
TENNESSEE,1976,"MACBRIDE, ROGER",OTHER,INDEPENDENT,1375,1476346
TENNESSEE,1976,"HALL, GUS",OTHER,INDEPENDENT,547,1476346
TENNESSEE,1976,"LAROUCHE, LYNDON, JR.",OTHER,INDEPENDENT,512,1476346
TENNESSEE,1976,"BUBAR, BENJAMIN """"BEN""""",OTHER,INDEPENDENT,442,1476346
TEXAS,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,2082319,4071884
TEXAS,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,1953300,4071884
TEXAS,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,20118,4071884
TEXAS,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,11442,4071884
TEXAS,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,1723,4071884
UTAH,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,337908,541218
UTAH,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,182110,541218
UTAH,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,13304,541218
UTAH,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,3907,541218
UTAH,1976,"MACBRIDE, ROGER",OTHER,LIBERAL PARTY,2438,541218
UTAH,1976,"MADDOX, LESTER",OTHER,CONCERNED CITIZENS,1162,541218
UTAH,1976,"CAMEJO, PETER",OTHER,INDEPENDENT,268,541218
UTAH,1976,"HALL, GUS",OTHER,INDEPENDENT,121,541218
VERMONT,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,100387,183902
VERMONT,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,77798,183902
VERMONT,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,4001,183902
VERMONT,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,430,183902
VERMONT,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,196,183902
VIRGINIA,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,836554,1697094
VIRGINIA,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,813896,1697094
VIRGINIA,1976,"CAMEJO, PETER",OTHER,SOCIALIST WORKERS,17802,1697094
VIRGINIA,1976,"ANDERSON, THOMAS J.",OTHER,AMERICAN,16686,1697094
VIRGINIA,1976,"LAROUCHE, LYNDON, JR.",OTHER,U.S. LABOR,7508,1697094
VIRGINIA,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,4648,1697094
WASHINGTON,1976,"FORD, GERALD",REPUBLICAN,REPUBLICAN,777732,1555534
WASHINGTON,1976,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,717323,1555534
WASHINGTON,1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,INDEPENDENT,36986,1555534
WASHINGTON,1976,"MADDOX, LESTER",OTHER,AMERICAN INDEPENDENT PARTY,8585,1555534
WASHINGTON,1976,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,5042,1555534
