,Year,State,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
60,2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real GDP,Trump,Donald Trump,2017-2021,18.59,4.38
66,2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real GDP,Biden,Joe Biden,2021-2023,6.93,3.41
72,2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real GDP,Obama 1,Barack Obama,2009-2013,9.11,2.21
78,2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real GDP,Obama 2,Barack Obama,2013-2017,3.37,0.83
84,2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real GDP,Trump,Donald Trump,2017-2021,10.96,2.67
90,2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real GDP,Biden,Joe Biden,2021-2023,3.93,1.95
96,2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real GDP,Obama 1,Barack Obama,2009-2013,10.88,2.62
102,2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real GDP,Obama 2,Barack Obama,2013-2017,17.1,4.03
108,2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real GDP,Trump,Donald Trump,2017-2021,15.09,3.62
114,2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real GDP,Biden,Joe Biden,2021-2023,3.0,1.49
120,2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Real GDP,Obama 1,Barack Obama,2009-2013,9.37,2.27
126,2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Real GDP,Obama 2,Barack Obama,2013-2017,16.16,3.82
132,2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Real GDP,Trump,Donald Trump,2017-2021,16.06,3.83
138,2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Real GDP,Biden,Joe Biden,2021-2023,7.53,3.7
144,2008,CONNECTICUT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.59,"MCCAIN, JOHN",REPUBLICAN,38.22,Real GDP,Obama 1,Barack Obama,2009-2013,-2.49,-0.62
150,2008,CONNECTICUT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.59,"MCCAIN, JOHN",REPUBLICAN,38.22,Real GDP,Obama 2,Barack Obama,2013-2017,5.78,1.42
156,2008,CONNECTICUT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.59,"MCCAIN, JOHN",REPUBLICAN,38.22,Real GDP,Trump,Donald Trump,2017-2021,-1.47,-0.32
162,2008,CONNECTICUT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.59,"MCCAIN, JOHN",REPUBLICAN,38.22,Real GDP,Biden,Joe Biden,2021-2023,6.22,3.06
168,2008,DELAWARE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.94,"MCCAIN, JOHN",REPUBLICAN,36.95,Real GDP,Obama 1,Barack Obama,2009-2013,-0.77,-0.16
174,2008,DELAWARE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.94,"MCCAIN, JOHN",REPUBLICAN,36.95,Real GDP,Obama 2,Barack Obama,2013-2017,1.31,0.46
180,2008,DELAWARE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.94,"MCCAIN, JOHN",REPUBLICAN,36.95,Real GDP,Trump,Donald Trump,2017-2021,7.33,1.83
186,2008,DELAWARE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.94,"MCCAIN, JOHN",REPUBLICAN,36.95,Real GDP,Biden,Joe Biden,2021-2023,4.5,2.23
192,2008,DISTRICT OF COLUMBIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,92.46,"MCCAIN, JOHN",REPUBLICAN,6.53,Real GDP,Obama 1,Barack Obama,2009-2013,7.31,1.79
198,2008,DISTRICT OF COLUMBIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,92.46,"MCCAIN, JOHN",REPUBLICAN,6.53,Real GDP,Obama 2,Barack Obama,2013-2017,8.22,2.0
204,2008,DISTRICT OF COLUMBIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,92.46,"MCCAIN, JOHN",REPUBLICAN,6.53,Real GDP,Trump,Donald Trump,2017-2021,6.58,1.62
210,2008,DISTRICT OF COLUMBIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,92.46,"MCCAIN, JOHN",REPUBLICAN,6.53,Real GDP,Biden,Joe Biden,2021-2023,2.01,1.0
216,2008,FLORIDA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.03,"MCCAIN, JOHN",REPUBLICAN,48.22,Real GDP,Obama 1,Barack Obama,2009-2013,4.72,1.17
222,2008,FLORIDA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.03,"MCCAIN, JOHN",REPUBLICAN,48.22,Real GDP,Obama 2,Barack Obama,2013-2017,15.3,3.63
228,2008,FLORIDA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.03,"MCCAIN, JOHN",REPUBLICAN,48.22,Real GDP,Trump,Donald Trump,2017-2021,15.34,3.7
234,2008,FLORIDA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.03,"MCCAIN, JOHN",REPUBLICAN,48.22,Real GDP,Biden,Joe Biden,2021-2023,10.44,5.1
240,2008,GEORGIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,52.2,"OBAMA, BARACK H.",DEMOCRAT,46.99,Real GDP,Obama 1,Barack Obama,2009-2013,7.73,1.88
246,2008,GEORGIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,52.2,"OBAMA, BARACK H.",DEMOCRAT,46.99,Real GDP,Obama 2,Barack Obama,2013-2017,16.73,3.94
252,2008,GEORGIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,52.2,"OBAMA, BARACK H.",DEMOCRAT,46.99,Real GDP,Trump,Donald Trump,2017-2021,10.19,2.51
258,2008,GEORGIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,52.2,"OBAMA, BARACK H.",DEMOCRAT,46.99,Real GDP,Biden,Joe Biden,2021-2023,5.47,2.7
264,2008,HAWAII,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,71.45,"MCCAIN, JOHN",REPUBLICAN,26.44,Real GDP,Obama 1,Barack Obama,2009-2013,8.66,2.1
270,2008,HAWAII,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,71.45,"MCCAIN, JOHN",REPUBLICAN,26.44,Real GDP,Obama 2,Barack Obama,2013-2017,8.57,2.08
276,2008,HAWAII,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,71.45,"MCCAIN, JOHN",REPUBLICAN,26.44,Real GDP,Trump,Donald Trump,2017-2021,-3.46,-0.7
282,2008,HAWAII,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,71.45,"MCCAIN, JOHN",REPUBLICAN,26.44,Real GDP,Biden,Joe Biden,2021-2023,4.98,2.46
288,2008,IDAHO,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,61.52,"OBAMA, BARACK H.",DEMOCRAT,36.09,Real GDP,Obama 1,Barack Obama,2009-2013,5.7,1.42
294,2008,IDAHO,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,61.52,"OBAMA, BARACK H.",DEMOCRAT,36.09,Real GDP,Obama 2,Barack Obama,2013-2017,12.61,3.02
300,2008,IDAHO,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,61.52,"OBAMA, BARACK H.",DEMOCRAT,36.09,Real GDP,Trump,Donald Trump,2017-2021,21.98,5.12
306,2008,IDAHO,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,61.52,"OBAMA, BARACK H.",DEMOCRAT,36.09,Real GDP,Biden,Joe Biden,2021-2023,7.79,3.82
312,2008,ILLINOIS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.92,"MCCAIN, JOHN",REPUBLICAN,36.78,Real GDP,Obama 1,Barack Obama,2009-2013,7.38,1.8
318,2008,ILLINOIS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.92,"MCCAIN, JOHN",REPUBLICAN,36.78,Real GDP,Obama 2,Barack Obama,2013-2017,4.7,1.16
324,2008,ILLINOIS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.92,"MCCAIN, JOHN",REPUBLICAN,36.78,Real GDP,Trump,Donald Trump,2017-2021,2.77,0.77
330,2008,ILLINOIS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.92,"MCCAIN, JOHN",REPUBLICAN,36.78,Real GDP,Biden,Joe Biden,2021-2023,3.48,1.73
336,2008,INDIANA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,49.95,"MCCAIN, JOHN",REPUBLICAN,48.91,Real GDP,Obama 1,Barack Obama,2009-2013,11.15,2.71
342,2008,INDIANA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,49.95,"MCCAIN, JOHN",REPUBLICAN,48.91,Real GDP,Obama 2,Barack Obama,2013-2017,7.3,1.79
348,2008,INDIANA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,49.95,"MCCAIN, JOHN",REPUBLICAN,48.91,Real GDP,Trump,Donald Trump,2017-2021,8.28,2.08
354,2008,INDIANA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,49.95,"MCCAIN, JOHN",REPUBLICAN,48.91,Real GDP,Biden,Joe Biden,2021-2023,4.43,2.2
360,2008,IOWA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.93,"MCCAIN, JOHN",REPUBLICAN,44.39,Real GDP,Obama 1,Barack Obama,2009-2013,9.14,2.22
366,2008,IOWA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.93,"MCCAIN, JOHN",REPUBLICAN,44.39,Real GDP,Obama 2,Barack Obama,2013-2017,9.39,2.29
372,2008,IOWA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.93,"MCCAIN, JOHN",REPUBLICAN,44.39,Real GDP,Trump,Donald Trump,2017-2021,7.49,1.89
378,2008,IOWA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.93,"MCCAIN, JOHN",REPUBLICAN,44.39,Real GDP,Biden,Joe Biden,2021-2023,0.45,0.22
384,2008,KANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.61,"OBAMA, BARACK H.",DEMOCRAT,41.65,Real GDP,Obama 1,Barack Obama,2009-2013,6.2,1.52
390,2008,KANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.61,"OBAMA, BARACK H.",DEMOCRAT,41.65,Real GDP,Obama 2,Barack Obama,2013-2017,10.33,2.49
396,2008,KANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.61,"OBAMA, BARACK H.",DEMOCRAT,41.65,Real GDP,Trump,Donald Trump,2017-2021,3.91,0.98
402,2008,KANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.61,"OBAMA, BARACK H.",DEMOCRAT,41.65,Real GDP,Biden,Joe Biden,2021-2023,6.37,3.14
408,2008,KENTUCKY,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,57.4,"OBAMA, BARACK H.",DEMOCRAT,41.17,Real GDP,Obama 1,Barack Obama,2009-2013,10.43,2.52
414,2008,KENTUCKY,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,57.4,"OBAMA, BARACK H.",DEMOCRAT,41.17,Real GDP,Obama 2,Barack Obama,2013-2017,3.49,0.86
420,2008,KENTUCKY,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,57.4,"OBAMA, BARACK H.",DEMOCRAT,41.17,Real GDP,Trump,Donald Trump,2017-2021,5.68,1.43
426,2008,KENTUCKY,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,57.4,"OBAMA, BARACK H.",DEMOCRAT,41.17,Real GDP,Biden,Joe Biden,2021-2023,4.32,2.14
432,2008,LOUISIANA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.56,"OBAMA, BARACK H.",DEMOCRAT,39.93,Real GDP,Obama 1,Barack Obama,2009-2013,-2.23,-0.5
438,2008,LOUISIANA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.56,"OBAMA, BARACK H.",DEMOCRAT,39.93,Real GDP,Obama 2,Barack Obama,2013-2017,1.42,0.37
444,2008,LOUISIANA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.56,"OBAMA, BARACK H.",DEMOCRAT,39.93,Real GDP,Trump,Donald Trump,2017-2021,-0.83,-0.12
450,2008,LOUISIANA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.56,"OBAMA, BARACK H.",DEMOCRAT,39.93,Real GDP,Biden,Joe Biden,2021-2023,4.53,2.28
456,2008,MAINE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.71,"MCCAIN, JOHN",REPUBLICAN,40.38,Real GDP,Obama 1,Barack Obama,2009-2013,0.41,0.11
462,2008,MAINE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.71,"MCCAIN, JOHN",REPUBLICAN,40.38,Real GDP,Obama 2,Barack Obama,2013-2017,6.76,1.65
468,2008,MAINE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.71,"MCCAIN, JOHN",REPUBLICAN,40.38,Real GDP,Trump,Donald Trump,2017-2021,12.92,3.1
474,2008,MAINE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.71,"MCCAIN, JOHN",REPUBLICAN,40.38,Real GDP,Biden,Joe Biden,2021-2023,5.7,2.81
480,2008,MARYLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.92,"MCCAIN, JOHN",REPUBLICAN,36.47,Real GDP,Obama 1,Barack Obama,2009-2013,8.43,2.06
486,2008,MARYLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.92,"MCCAIN, JOHN",REPUBLICAN,36.47,Real GDP,Obama 2,Barack Obama,2013-2017,9.62,2.33
492,2008,MARYLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.92,"MCCAIN, JOHN",REPUBLICAN,36.47,Real GDP,Trump,Donald Trump,2017-2021,1.81,0.49
498,2008,MARYLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.92,"MCCAIN, JOHN",REPUBLICAN,36.47,Real GDP,Biden,Joe Biden,2021-2023,3.91,1.94
504,2008,MASSACHUSETTS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.36,"MCCAIN, JOHN",REPUBLICAN,35.73,Real GDP,Obama 1,Barack Obama,2009-2013,10.35,2.5
510,2008,MASSACHUSETTS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.36,"MCCAIN, JOHN",REPUBLICAN,35.73,Real GDP,Obama 2,Barack Obama,2013-2017,8.86,2.15
516,2008,MASSACHUSETTS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.36,"MCCAIN, JOHN",REPUBLICAN,35.73,Real GDP,Trump,Donald Trump,2017-2021,12.41,3.0
522,2008,MASSACHUSETTS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.36,"MCCAIN, JOHN",REPUBLICAN,35.73,Real GDP,Biden,Joe Biden,2021-2023,3.29,1.63
528,2008,MICHIGAN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.43,"MCCAIN, JOHN",REPUBLICAN,40.96,Real GDP,Obama 1,Barack Obama,2009-2013,13.57,3.24
534,2008,MICHIGAN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.43,"MCCAIN, JOHN",REPUBLICAN,40.96,Real GDP,Obama 2,Barack Obama,2013-2017,6.84,1.67
540,2008,MICHIGAN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.43,"MCCAIN, JOHN",REPUBLICAN,40.96,Real GDP,Trump,Donald Trump,2017-2021,5.0,1.28
546,2008,MICHIGAN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.43,"MCCAIN, JOHN",REPUBLICAN,40.96,Real GDP,Biden,Joe Biden,2021-2023,4.5,2.23
552,2008,MINNESOTA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.06,"MCCAIN, JOHN",REPUBLICAN,43.82,Real GDP,Obama 1,Barack Obama,2009-2013,11.08,2.66
558,2008,MINNESOTA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.06,"MCCAIN, JOHN",REPUBLICAN,43.82,Real GDP,Obama 2,Barack Obama,2013-2017,7.56,1.84
564,2008,MINNESOTA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.06,"MCCAIN, JOHN",REPUBLICAN,43.82,Real GDP,Trump,Donald Trump,2017-2021,6.55,1.65
570,2008,MINNESOTA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.06,"MCCAIN, JOHN",REPUBLICAN,43.82,Real GDP,Biden,Joe Biden,2021-2023,3.43,1.7
576,2008,MISSISSIPPI,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.18,"OBAMA, BARACK H.",DEMOCRAT,43.0,Real GDP,Obama 1,Barack Obama,2009-2013,3.49,0.86
582,2008,MISSISSIPPI,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.18,"OBAMA, BARACK H.",DEMOCRAT,43.0,Real GDP,Obama 2,Barack Obama,2013-2017,1.15,0.29
588,2008,MISSISSIPPI,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.18,"OBAMA, BARACK H.",DEMOCRAT,43.0,Real GDP,Trump,Donald Trump,2017-2021,4.89,1.22
594,2008,MISSISSIPPI,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.18,"OBAMA, BARACK H.",DEMOCRAT,43.0,Real GDP,Biden,Joe Biden,2021-2023,3.35,1.66
600,2008,MISSOURI,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,49.43,"OBAMA, BARACK H.",DEMOCRAT,49.29,Real GDP,Obama 1,Barack Obama,2009-2013,4.3,1.07
606,2008,MISSOURI,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,49.43,"OBAMA, BARACK H.",DEMOCRAT,49.29,Real GDP,Obama 2,Barack Obama,2013-2017,3.06,0.76
612,2008,MISSOURI,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,49.43,"OBAMA, BARACK H.",DEMOCRAT,49.29,Real GDP,Trump,Donald Trump,2017-2021,6.52,1.62
618,2008,MISSOURI,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,49.43,"OBAMA, BARACK H.",DEMOCRAT,49.29,Real GDP,Biden,Joe Biden,2021-2023,5.1,2.52
624,2008,MONTANA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,49.53,"OBAMA, BARACK H.",DEMOCRAT,47.27,Real GDP,Obama 1,Barack Obama,2009-2013,10.2,2.46
630,2008,MONTANA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,49.53,"OBAMA, BARACK H.",DEMOCRAT,47.27,Real GDP,Obama 2,Barack Obama,2013-2017,7.44,1.83
636,2008,MONTANA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,49.53,"OBAMA, BARACK H.",DEMOCRAT,47.27,Real GDP,Trump,Donald Trump,2017-2021,9.97,2.44
642,2008,MONTANA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,49.53,"OBAMA, BARACK H.",DEMOCRAT,47.27,Real GDP,Biden,Joe Biden,2021-2023,7.63,3.75
648,2008,NEBRASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.53,"OBAMA, BARACK H.",DEMOCRAT,41.6,Real GDP,Obama 1,Barack Obama,2009-2013,11.4,2.76
654,2008,NEBRASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.53,"OBAMA, BARACK H.",DEMOCRAT,41.6,Real GDP,Obama 2,Barack Obama,2013-2017,10.63,2.56
660,2008,NEBRASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.53,"OBAMA, BARACK H.",DEMOCRAT,41.6,Real GDP,Trump,Donald Trump,2017-2021,9.51,2.33
666,2008,NEBRASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.53,"OBAMA, BARACK H.",DEMOCRAT,41.6,Real GDP,Biden,Joe Biden,2021-2023,7.47,3.67
672,2008,NEVADA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.15,"MCCAIN, JOHN",REPUBLICAN,42.65,Real GDP,Obama 1,Barack Obama,2009-2013,3.03,0.75
678,2008,NEVADA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.15,"MCCAIN, JOHN",REPUBLICAN,42.65,Real GDP,Obama 2,Barack Obama,2013-2017,12.9,3.09
684,2008,NEVADA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.15,"MCCAIN, JOHN",REPUBLICAN,42.65,Real GDP,Trump,Donald Trump,2017-2021,11.81,2.98
690,2008,NEVADA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.15,"MCCAIN, JOHN",REPUBLICAN,42.65,Real GDP,Biden,Joe Biden,2021-2023,7.09,3.49
696,2008,NEW HAMPSHIRE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.13,"MCCAIN, JOHN",REPUBLICAN,44.52,Real GDP,Obama 1,Barack Obama,2009-2013,7.1,1.74
702,2008,NEW HAMPSHIRE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.13,"MCCAIN, JOHN",REPUBLICAN,44.52,Real GDP,Obama 2,Barack Obama,2013-2017,7.52,1.83
708,2008,NEW HAMPSHIRE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.13,"MCCAIN, JOHN",REPUBLICAN,44.52,Real GDP,Trump,Donald Trump,2017-2021,10.8,2.66
714,2008,NEW HAMPSHIRE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.13,"MCCAIN, JOHN",REPUBLICAN,44.52,Real GDP,Biden,Joe Biden,2021-2023,3.91,1.94
720,2008,NEW JERSEY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.27,"MCCAIN, JOHN",REPUBLICAN,41.7,Real GDP,Obama 1,Barack Obama,2009-2013,4.5,1.12
726,2008,NEW JERSEY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.27,"MCCAIN, JOHN",REPUBLICAN,41.7,Real GDP,Obama 2,Barack Obama,2013-2017,3.35,0.83
732,2008,NEW JERSEY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.27,"MCCAIN, JOHN",REPUBLICAN,41.7,Real GDP,Trump,Donald Trump,2017-2021,7.18,1.81
738,2008,NEW JERSEY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.27,"MCCAIN, JOHN",REPUBLICAN,41.7,Real GDP,Biden,Joe Biden,2021-2023,4.97,2.45
744,2008,NEW MEXICO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.91,"MCCAIN, JOHN",REPUBLICAN,41.78,Real GDP,Obama 1,Barack Obama,2009-2013,-0.8,-0.2
750,2008,NEW MEXICO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.91,"MCCAIN, JOHN",REPUBLICAN,41.78,Real GDP,Obama 2,Barack Obama,2013-2017,3.45,0.86
756,2008,NEW MEXICO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.91,"MCCAIN, JOHN",REPUBLICAN,41.78,Real GDP,Trump,Donald Trump,2017-2021,8.27,2.05
762,2008,NEW MEXICO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.91,"MCCAIN, JOHN",REPUBLICAN,41.78,Real GDP,Biden,Joe Biden,2021-2023,9.32,4.58
768,2008,NEW YORK,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.16,"MCCAIN, JOHN",REPUBLICAN,31.32,Real GDP,Obama 1,Barack Obama,2009-2013,8.87,2.16
