State,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
Delaware,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.52,1.82
District of Columbia,Real GDP,Clinton 2,Bill Clinton,1998-2001,9.17,2.98
District of Columbia,GDP,Clinton 2,Bill Clinton,1998-2001,19.58,6.15
District of Columbia,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,17.72,5.62
District of Columbia,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,16.68,5.31
District of Columbia,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.21,2.03
Florida,Real GDP,Clinton 2,Bill Clinton,1998-2001,12.71,4.07
Florida,GDP,Clinton 2,Bill Clinton,1998-2001,21.13,6.6
Florida,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,12.99,4.17
Florida,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,13.13,4.2
Florida,Total Employment,Clinton 2,Bill Clinton,1998-2001,7.48,2.44
Georgia,Real GDP,Clinton 2,Bill Clinton,1998-2001,11.92,3.85
Georgia,GDP,Clinton 2,Bill Clinton,1998-2001,19.51,6.14
Georgia,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,13.74,4.39
Georgia,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,13.93,4.45
Georgia,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.73,1.88
Hawaii,Real GDP,Clinton 2,Bill Clinton,1998-2001,2.55,0.85
Hawaii,GDP,Clinton 2,Bill Clinton,1998-2001,13.32,4.26
Hawaii,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,13.34,4.27
Hawaii,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,13.17,4.21
Hawaii,Total Employment,Clinton 2,Bill Clinton,1998-2001,1.95,0.65
Idaho,Real GDP,Clinton 2,Bill Clinton,1998-2001,19.12,6.18
Idaho,GDP,Clinton 2,Bill Clinton,1998-2001,20.38,6.54
Idaho,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,13.39,4.29
Idaho,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,12.9,4.13
Idaho,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.92,2.26
Illinois,Real GDP,Clinton 2,Bill Clinton,1998-2001,7.62,2.49
Illinois,GDP,Clinton 2,Bill Clinton,1998-2001,14.45,4.61
Illinois,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,14.5,4.63
Illinois,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,15.2,4.84
Illinois,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.39,0.79
Indiana,Real GDP,Clinton 2,Bill Clinton,1998-2001,5.12,1.71
Indiana,GDP,Clinton 2,Bill Clinton,1998-2001,10.79,3.49
Indiana,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,11.02,3.56
Indiana,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,11.8,3.8
Indiana,Total Employment,Clinton 2,Bill Clinton,1998-2001,1.29,0.44
Iowa,Real GDP,Clinton 2,Bill Clinton,1998-2001,5.82,1.93
Iowa,GDP,Clinton 2,Bill Clinton,1998-2001,12.16,3.91
Iowa,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,11.7,3.77
Iowa,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,12.32,3.97
Iowa,Total Employment,Clinton 2,Bill Clinton,1998-2001,1.32,0.44
Kansas,Real GDP,Clinton 2,Bill Clinton,1998-2001,6.08,1.99
Kansas,GDP,Clinton 2,Bill Clinton,1998-2001,13.58,4.34
Kansas,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,10.86,3.5
Kansas,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,11.04,3.56
Kansas,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.56,0.85
Kentucky,Real GDP,Clinton 2,Bill Clinton,1998-2001,0.31,0.13
Kentucky,GDP,Clinton 2,Bill Clinton,1998-2001,7.04,2.32
Kentucky,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,13.96,4.47
Kentucky,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,14.25,4.56
Kentucky,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.69,0.9
Louisiana,Real GDP,Clinton 2,Bill Clinton,1998-2001,0.56,0.22
Louisiana,GDP,Clinton 2,Bill Clinton,1998-2001,14.95,4.75
Louisiana,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,15.11,4.83
Louisiana,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,15.51,4.94
Louisiana,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.64,0.87
Maine,Real GDP,Clinton 2,Bill Clinton,1998-2001,12.31,3.96
Maine,GDP,Clinton 2,Bill Clinton,1998-2001,20.09,6.3
Maine,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,16.07,5.1
Maine,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,15.98,5.07
Maine,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.2,1.71
Maryland,Real GDP,Clinton 2,Bill Clinton,1998-2001,13.03,4.17
Maryland,GDP,Clinton 2,Bill Clinton,1998-2001,21.21,6.62
Maryland,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,17.81,5.63
Maryland,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,17.6,5.56
Maryland,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.28,2.06
Massachusetts,Real GDP,Clinton 2,Bill Clinton,1998-2001,15.7,5.02
Massachusetts,GDP,Clinton 2,Bill Clinton,1998-2001,19.05,6.02
Massachusetts,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,21.19,6.65
Massachusetts,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,20.68,6.47
Massachusetts,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.62,1.52
Michigan,Real GDP,Clinton 2,Bill Clinton,1998-2001,5.11,1.74
Michigan,GDP,Clinton 2,Bill Clinton,1998-2001,12.23,3.99
Michigan,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,12.49,4.02
Michigan,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,13.96,4.47
Michigan,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.65,0.89
Minnesota,Real GDP,Clinton 2,Bill Clinton,1998-2001,10.85,3.53
Minnesota,GDP,Clinton 2,Bill Clinton,1998-2001,17.28,5.49
Minnesota,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,14.67,4.68
Minnesota,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,15.54,4.94
Minnesota,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.95,1.63
Mississippi,Real GDP,Clinton 2,Bill Clinton,1998-2001,2.81,0.94
Mississippi,GDP,Clinton 2,Bill Clinton,1998-2001,10.46,3.38
Mississippi,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,13.05,4.18
Mississippi,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,13.36,4.28
Mississippi,Total Employment,Clinton 2,Bill Clinton,1998-2001,0.73,0.25
Missouri,Real GDP,Clinton 2,Bill Clinton,1998-2001,4.47,1.48
Missouri,GDP,Clinton 2,Bill Clinton,1998-2001,11.91,3.83
Missouri,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,12.26,3.94
Missouri,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,12.28,3.95
Missouri,Total Employment,Clinton 2,Bill Clinton,1998-2001,1.97,0.66
Montana,Real GDP,Clinton 2,Bill Clinton,1998-2001,3.92,1.3
Montana,GDP,Clinton 2,Bill Clinton,1998-2001,11.68,3.76
Montana,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,11.57,3.73
Montana,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,10.99,3.55
Montana,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.51,1.48
Nebraska,Real GDP,Clinton 2,Bill Clinton,1998-2001,8.6,2.79
Nebraska,GDP,Clinton 2,Bill Clinton,1998-2001,15.01,4.78
Nebraska,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,14.39,4.58
Nebraska,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,14.8,4.71
Nebraska,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.23,1.07
Nevada,Real GDP,Clinton 2,Bill Clinton,1998-2001,13.12,4.22
Nevada,GDP,Clinton 2,Bill Clinton,1998-2001,23.93,7.43
Nevada,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,10.81,3.49
Nevada,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,11.29,3.64
Nevada,Total Employment,Clinton 2,Bill Clinton,1998-2001,13.62,4.36
New Hampshire,Real GDP,Clinton 2,Bill Clinton,1998-2001,12.31,3.97
New Hampshire,GDP,Clinton 2,Bill Clinton,1998-2001,15.44,4.92
New Hampshire,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,21.2,6.66
New Hampshire,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,21.35,6.69
New Hampshire,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.03,1.98
New Jersey,Real GDP,Clinton 2,Bill Clinton,1998-2001,10.49,3.4
New Jersey,GDP,Clinton 2,Bill Clinton,1998-2001,17.2,5.45
New Jersey,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,16.22,5.17
New Jersey,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,15.13,4.84
New Jersey,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.14,2.02
New Mexico,Real GDP,Clinton 2,Bill Clinton,1998-2001,7.79,2.56
New Mexico,GDP,Clinton 2,Bill Clinton,1998-2001,10.06,3.26
New Mexico,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,15.14,4.85
New Mexico,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,14.78,4.74
New Mexico,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.16,1.37
New York,Real GDP,Clinton 2,Bill Clinton,1998-2001,11.55,3.72
New York,GDP,Clinton 2,Bill Clinton,1998-2001,17.63,5.57
New York,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,16.19,5.14
New York,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,13.85,4.43
New York,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.43,1.78
North Carolina,Real GDP,Clinton 2,Bill Clinton,1998-2001,10.07,3.27
North Carolina,GDP,Clinton 2,Bill Clinton,1998-2001,16.45,5.22
North Carolina,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,9.44,3.06
North Carolina,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,9.49,3.08
North Carolina,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.13,1.04
North Dakota,Real GDP,Clinton 2,Bill Clinton,1998-2001,5.67,1.86
North Dakota,GDP,Clinton 2,Bill Clinton,1998-2001,12.67,4.08
North Dakota,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,13.77,4.45
North Dakota,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,13.36,4.32
North Dakota,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.41,0.8
Ohio,Real GDP,Clinton 2,Bill Clinton,1998-2001,3.09,1.03
Ohio,GDP,Clinton 2,Bill Clinton,1998-2001,9.51,3.08
Ohio,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,10.89,3.51
Ohio,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,11.12,3.58
Ohio,Total Employment,Clinton 2,Bill Clinton,1998-2001,1.92,0.64
Oklahoma,Real GDP,Clinton 2,Bill Clinton,1998-2001,9.37,3.03
Oklahoma,GDP,Clinton 2,Bill Clinton,1998-2001,19.23,6.05
Oklahoma,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,16.12,5.14
Oklahoma,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,16.09,5.13
Oklahoma,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.64,1.2
Oregon,Real GDP,Clinton 2,Bill Clinton,1998-2001,10.78,3.54
Oregon,GDP,Clinton 2,Bill Clinton,1998-2001,11.41,3.74
Oregon,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,11.03,3.57
Oregon,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,11.31,3.65
Oregon,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.83,0.94
Pennsylvania,Real GDP,Clinton 2,Bill Clinton,1998-2001,7.99,2.6
Pennsylvania,GDP,Clinton 2,Bill Clinton,1998-2001,14.71,4.68
Pennsylvania,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,15.58,4.95
Pennsylvania,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,15.94,5.06
Pennsylvania,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.87,1.28
Rhode Island,Real GDP,Clinton 2,Bill Clinton,1998-2001,9.53,3.09
Rhode Island,GDP,Clinton 2,Bill Clinton,1998-2001,16.56,5.25
Rhode Island,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,15.65,4.97
Rhode Island,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,14.95,4.76
Rhode Island,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.49,1.8
South Carolina,Real GDP,Clinton 2,Bill Clinton,1998-2001,8.03,2.62
South Carolina,GDP,Clinton 2,Bill Clinton,1998-2001,15.11,4.81
South Carolina,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,11.98,3.85
South Carolina,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,12.56,4.03
South Carolina,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.97,0.99
South Dakota,Real GDP,Clinton 2,Bill Clinton,1998-2001,12.6,4.06
South Dakota,GDP,Clinton 2,Bill Clinton,1998-2001,16.63,5.28
South Dakota,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,13.59,4.35
South Dakota,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,13.29,4.26
South Dakota,Total Employment,Clinton 2,Bill Clinton,1998-2001,4.27,1.41
Tennessee,Real GDP,Clinton 2,Bill Clinton,1998-2001,3.88,1.29
Tennessee,GDP,Clinton 2,Bill Clinton,1998-2001,10.81,3.49
Tennessee,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,9.59,3.11
Tennessee,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,9.74,3.16
Tennessee,Total Employment,Clinton 2,Bill Clinton,1998-2001,2.44,0.82
Texas,Real GDP,Clinton 2,Bill Clinton,1998-2001,10.92,3.52
Texas,GDP,Clinton 2,Bill Clinton,1998-2001,20.36,6.38
Texas,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,15.89,5.05
Texas,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,16.09,5.1
Texas,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.44,2.1
Utah,Real GDP,Clinton 2,Bill Clinton,1998-2001,9.78,3.17
Utah,GDP,Clinton 2,Bill Clinton,1998-2001,17.68,5.58
Utah,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,11.98,3.85
Utah,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,12.46,3.99
Utah,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.27,2.05
Vermont,Real GDP,Clinton 2,Bill Clinton,1998-2001,15.34,4.88
Vermont,GDP,Clinton 2,Bill Clinton,1998-2001,20.18,6.32
Vermont,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,19.25,6.05
Vermont,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,19.42,6.1
Vermont,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.99,1.96
Virginia,Real GDP,Clinton 2,Bill Clinton,1998-2001,14.02,4.47
Virginia,GDP,Clinton 2,Bill Clinton,1998-2001,22.83,7.1
Virginia,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,17.18,5.43
Virginia,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,16.58,5.25
Virginia,Total Employment,Clinton 2,Bill Clinton,1998-2001,5.99,1.96
Washington,Real GDP,Clinton 2,Bill Clinton,1998-2001,6.02,2.05
Washington,GDP,Clinton 2,Bill Clinton,1998-2001,13.74,4.46
Washington,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,12.37,3.98
Washington,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,13.27,4.25
Washington,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.93,1.3
West Virginia,Real GDP,Clinton 2,Bill Clinton,1998-2001,3.04,1.01
West Virginia,GDP,Clinton 2,Bill Clinton,1998-2001,9.55,3.09
West Virginia,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,16.04,5.1
West Virginia,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,15.9,5.05
West Virginia,Total Employment,Clinton 2,Bill Clinton,1998-2001,0.48,0.16
Wisconsin,Real GDP,Clinton 2,Bill Clinton,1998-2001,8.99,2.92
Wisconsin,GDP,Clinton 2,Bill Clinton,1998-2001,15.73,4.99
Wisconsin,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,14.04,4.48
Wisconsin,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,15.08,4.8
Wisconsin,Total Employment,Clinton 2,Bill Clinton,1998-2001,3.53,1.17
Wyoming,Real GDP,Clinton 2,Bill Clinton,1998-2001,14.24,4.55
Wyoming,GDP,Clinton 2,Bill Clinton,1998-2001,26.35,8.12
Wyoming,Per Capita Personal Income,Clinton 2,Bill Clinton,1998-2001,21.44,6.69
Wyoming,Per Capita Disposable Personal Income,Clinton 2,Bill Clinton,1998-2001,21.32,6.65
Wyoming,Total Employment,Clinton 2,Bill Clinton,1998-2001,6.48,2.12
United States,Real GDP,Bush 1,George W. Bush,2001-2005,12.35,2.96
United States,GDP,Bush 1,George W. Bush,2001-2005,23.22,5.37
United States,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,13.06,3.13
United States,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,16.05,3.79
United States,Total Employment,Bush 1,George W. Bush,2001-2005,4.12,1.02
Alabama,Real GDP,Bush 1,George W. Bush,2001-2005,17.1,4.04
Alabama,GDP,Bush 1,George W. Bush,2001-2005,28.45,6.48
Alabama,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,18.9,4.43
Alabama,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,21.21,4.93
Alabama,Total Employment,Bush 1,George W. Bush,2001-2005,4.66,1.15
Alaska,Real GDP,Bush 1,George W. Bush,2001-2005,10.98,2.67
Alaska,GDP,Bush 1,George W. Bush,2001-2005,41.17,9.06
Alaska,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,16.14,3.82
Alaska,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,19.56,4.57
Alaska,Total Employment,Bush 1,George W. Bush,2001-2005,6.81,1.66
Arizona,Real GDP,Bush 1,George W. Bush,2001-2005,22.92,5.31
Arizona,GDP,Bush 1,George W. Bush,2001-2005,31.87,7.18
Arizona,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,19.31,4.53
Arizona,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,21.36,4.96
Arizona,Total Employment,Bush 1,George W. Bush,2001-2005,13.81,3.31
Arkansas,Real GDP,Bush 1,George W. Bush,2001-2005,17.71,4.17
Arkansas,GDP,Bush 1,George W. Bush,2001-2005,28.18,6.41
Arkansas,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,17.63,4.15
Arkansas,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,20.13,4.7
Arkansas,Total Employment,Bush 1,George W. Bush,2001-2005,3.72,0.92
California,Real GDP,Bush 1,George W. Bush,2001-2005,14.43,3.43
California,GDP,Bush 1,George W. Bush,2001-2005,23.71,5.47
California,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,14.22,3.4
California,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,17.77,4.18
California,Total Employment,Bush 1,George W. Bush,2001-2005,4.06,1.0
Colorado,Real GDP,Bush 1,George W. Bush,2001-2005,7.97,1.95
Colorado,GDP,Bush 1,George W. Bush,2001-2005,18.81,4.43
Colorado,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,8.06,1.98
Colorado,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,10.83,2.61
Colorado,Total Employment,Bush 1,George W. Bush,2001-2005,3.23,0.81
Connecticut,Real GDP,Bush 1,George W. Bush,2001-2005,9.25,2.27
Connecticut,GDP,Bush 1,George W. Bush,2001-2005,19.51,4.6
Connecticut,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,9.75,2.39
Connecticut,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,13.57,3.24
Connecticut,Total Employment,Bush 1,George W. Bush,2001-2005,2.2,0.55
Delaware,Real GDP,Bush 1,George W. Bush,2001-2005,1.0,0.3
Delaware,GDP,Bush 1,George W. Bush,2001-2005,12.24,2.99
Delaware,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,6.0,1.47
Delaware,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,7.14,1.76
Delaware,Total Employment,Bush 1,George W. Bush,2001-2005,5.16,1.27
District of Columbia,Real GDP,Bush 1,George W. Bush,2001-2005,13.2,3.16
District of Columbia,GDP,Bush 1,George W. Bush,2001-2005,30.17,6.82
District of Columbia,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,17.58,4.18
District of Columbia,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,19.5,4.58
District of Columbia,Total Employment,Bush 1,George W. Bush,2001-2005,3.77,0.93
Florida,Real GDP,Bush 1,George W. Bush,2001-2005,23.58,5.44
Florida,GDP,Bush 1,George W. Bush,2001-2005,35.78,7.96
Florida,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,17.53,4.14
Florida,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,19.13,4.48
Florida,Total Employment,Bush 1,George W. Bush,2001-2005,12.62,3.02
Georgia,Real GDP,Bush 1,George W. Bush,2001-2005,13.75,3.28
Georgia,GDP,Bush 1,George W. Bush,2001-2005,22.67,5.26
Georgia,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,12.09,2.9
Georgia,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,15.35,3.63
Georgia,Total Employment,Bush 1,George W. Bush,2001-2005,6.65,1.63
Hawaii,Real GDP,Bush 1,George W. Bush,2001-2005,20.67,4.81
Hawaii,GDP,Bush 1,George W. Bush,2001-2005,34.62,7.72
Hawaii,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,20.21,4.71
Hawaii,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,21.82,5.06
Hawaii,Total Employment,Bush 1,George W. Bush,2001-2005,8.96,2.17
Idaho,Real GDP,Bush 1,George W. Bush,2001-2005,21.84,5.09
Idaho,GDP,Bush 1,George W. Bush,2001-2005,29.32,6.67
Idaho,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,13.22,3.17
Idaho,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,15.17,3.61
