State,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
Alabama,Total Employment,Bush 2,George W. Bush,2005-2009,-0.29,-0.04
Alaska,Real GDP,Bush 2,George W. Bush,2005-2009,23.75,5.54
Alaska,Total Employment,Bush 2,George W. Bush,2005-2009,5.0,1.23
Arizona,Real GDP,Bush 2,George W. Bush,2005-2009,-2.25,-0.44
Arizona,Total Employment,Bush 2,George W. Bush,2005-2009,0.27,0.14
Arkansas,Real GDP,Bush 2,George W. Bush,2005-2009,-2.33,-0.57
Arkansas,Total Employment,Bush 2,George W. Bush,2005-2009,0.34,0.1
California,Real GDP,Bush 2,George W. Bush,2005-2009,3.36,0.87
California,Total Employment,Bush 2,George W. Bush,2005-2009,-1.44,-0.33
Colorado,Real GDP,Bush 2,George W. Bush,2005-2009,5.22,1.3
Colorado,Total Employment,Bush 2,George W. Bush,2005-2009,4.21,1.06
Connecticut,Real GDP,Bush 2,George W. Bush,2005-2009,2.84,0.76
Connecticut,Total Employment,Bush 2,George W. Bush,2005-2009,1.11,0.29
Delaware,Real GDP,Bush 2,George W. Bush,2005-2009,4.23,1.09
Delaware,Total Employment,Bush 2,George W. Bush,2005-2009,-0.58,-0.12
District of Columbia,Real GDP,Bush 2,George W. Bush,2005-2009,6.21,1.53
District of Columbia,Total Employment,Bush 2,George W. Bush,2005-2009,3.4,0.84
Florida,Real GDP,Bush 2,George W. Bush,2005-2009,-4.83,-1.17
Florida,Total Employment,Bush 2,George W. Bush,2005-2009,-2.24,-0.52
Georgia,Real GDP,Bush 2,George W. Bush,2005-2009,-3.5,-0.86
Georgia,Total Employment,Bush 2,George W. Bush,2005-2009,0.98,0.28
Hawaii,Real GDP,Bush 2,George W. Bush,2005-2009,1.61,0.43
Hawaii,Total Employment,Bush 2,George W. Bush,2005-2009,1.21,0.33
Idaho,Real GDP,Bush 2,George W. Bush,2005-2009,3.28,0.85
Idaho,Total Employment,Bush 2,George W. Bush,2005-2009,2.2,0.61
Illinois,Real GDP,Bush 2,George W. Bush,2005-2009,-0.06,0.0
Illinois,Total Employment,Bush 2,George W. Bush,2005-2009,-0.41,-0.08
Indiana,Real GDP,Bush 2,George W. Bush,2005-2009,-2.14,-0.46
Indiana,Total Employment,Bush 2,George W. Bush,2005-2009,-3.08,-0.75
Iowa,Real GDP,Bush 2,George W. Bush,2005-2009,2.02,0.54
Iowa,Total Employment,Bush 2,George W. Bush,2005-2009,1.3,0.33
Kansas,Real GDP,Bush 2,George W. Bush,2005-2009,9.5,2.36
Kansas,Total Employment,Bush 2,George W. Bush,2005-2009,2.69,0.69
Kentucky,Real GDP,Bush 2,George W. Bush,2005-2009,-2.15,-0.51
Kentucky,Total Employment,Bush 2,George W. Bush,2005-2009,-0.55,-0.12
Louisiana,Real GDP,Bush 2,George W. Bush,2005-2009,-3.08,-0.74
Louisiana,Total Employment,Bush 2,George W. Bush,2005-2009,5.53,1.37
Maine,Real GDP,Bush 2,George W. Bush,2005-2009,-1.37,-0.34
Maine,Total Employment,Bush 2,George W. Bush,2005-2009,-1.09,-0.26
Maryland,Real GDP,Bush 2,George W. Bush,2005-2009,3.27,0.81
Maryland,Total Employment,Bush 2,George W. Bush,2005-2009,1.47,0.38
Massachusetts,Real GDP,Bush 2,George W. Bush,2005-2009,5.81,1.44
Massachusetts,Total Employment,Bush 2,George W. Bush,2005-2009,1.1,0.29
Michigan,Real GDP,Bush 2,George W. Bush,2005-2009,-15.69,-4.12
Michigan,Total Employment,Bush 2,George W. Bush,2005-2009,-8.11,-2.07
Minnesota,Real GDP,Bush 2,George W. Bush,2005-2009,-1.62,-0.38
Minnesota,Total Employment,Bush 2,George W. Bush,2005-2009,-0.7,-0.16
Mississippi,Real GDP,Bush 2,George W. Bush,2005-2009,1.61,0.43
Mississippi,Total Employment,Bush 2,George W. Bush,2005-2009,1.26,0.34
Missouri,Real GDP,Bush 2,George W. Bush,2005-2009,1.48,0.39
Missouri,Total Employment,Bush 2,George W. Bush,2005-2009,-0.3,-0.06
Montana,Real GDP,Bush 2,George W. Bush,2005-2009,5.38,1.36
Montana,Total Employment,Bush 2,George W. Bush,2005-2009,3.14,0.8
Nebraska,Real GDP,Bush 2,George W. Bush,2005-2009,5.74,1.41
Nebraska,Total Employment,Bush 2,George W. Bush,2005-2009,2.61,0.65
Nevada,Real GDP,Bush 2,George W. Bush,2005-2009,-6.89,-1.67
Nevada,Total Employment,Bush 2,George W. Bush,2005-2009,-1.36,-0.25
New Hampshire,Real GDP,Bush 2,George W. Bush,2005-2009,1.36,0.35
New Hampshire,Total Employment,Bush 2,George W. Bush,2005-2009,-0.58,-0.13
New Jersey,Real GDP,Bush 2,George W. Bush,2005-2009,0.0,0.04
New Jersey,Total Employment,Bush 2,George W. Bush,2005-2009,0.02,0.02
New Mexico,Real GDP,Bush 2,George W. Bush,2005-2009,5.25,1.29
New Mexico,Total Employment,Bush 2,George W. Bush,2005-2009,2.07,0.54
New York,Real GDP,Bush 2,George W. Bush,2005-2009,6.0,1.49
New York,Total Employment,Bush 2,George W. Bush,2005-2009,3.1,0.78
North Carolina,Real GDP,Bush 2,George W. Bush,2005-2009,7.08,1.79
North Carolina,Total Employment,Bush 2,George W. Bush,2005-2009,2.41,0.64
North Dakota,Real GDP,Bush 2,George W. Bush,2005-2009,21.41,4.98
North Dakota,Total Employment,Bush 2,George W. Bush,2005-2009,6.67,1.63
Ohio,Real GDP,Bush 2,George W. Bush,2005-2009,-5.79,-1.46
Ohio,Total Employment,Bush 2,George W. Bush,2005-2009,-3.79,-0.94
Oklahoma,Real GDP,Bush 2,George W. Bush,2005-2009,11.75,2.86
Oklahoma,Total Employment,Bush 2,George W. Bush,2005-2009,4.58,1.15
Oregon,Real GDP,Bush 2,George W. Bush,2005-2009,4.87,1.25
Oregon,Total Employment,Bush 2,George W. Bush,2005-2009,-0.35,-0.05
Pennsylvania,Real GDP,Bush 2,George W. Bush,2005-2009,3.02,0.78
Pennsylvania,Total Employment,Bush 2,George W. Bush,2005-2009,0.68,0.18
Rhode Island,Real GDP,Bush 2,George W. Bush,2005-2009,-2.51,-0.61
Rhode Island,Total Employment,Bush 2,George W. Bush,2005-2009,-2.88,-0.71
South Carolina,Real GDP,Bush 2,George W. Bush,2005-2009,0.44,0.15
South Carolina,Total Employment,Bush 2,George W. Bush,2005-2009,0.49,0.16
South Dakota,Real GDP,Bush 2,George W. Bush,2005-2009,12.52,3.0
South Dakota,Total Employment,Bush 2,George W. Bush,2005-2009,5.45,1.34
Tennessee,Real GDP,Bush 2,George W. Bush,2005-2009,-0.61,-0.13
Tennessee,Total Employment,Bush 2,George W. Bush,2005-2009,-1.35,-0.31
Texas,Real GDP,Bush 2,George W. Bush,2005-2009,12.43,3.02
Texas,Total Employment,Bush 2,George W. Bush,2005-2009,9.22,2.25
Utah,Real GDP,Bush 2,George W. Bush,2005-2009,10.58,2.62
Utah,Total Employment,Bush 2,George W. Bush,2005-2009,7.67,1.92
Vermont,Real GDP,Bush 2,George W. Bush,2005-2009,0.96,0.26
Vermont,Total Employment,Bush 2,George W. Bush,2005-2009,-0.69,-0.16
Virginia,Real GDP,Bush 2,George W. Bush,2005-2009,4.07,1.01
Virginia,Total Employment,Bush 2,George W. Bush,2005-2009,1.21,0.32
Washington,Real GDP,Bush 2,George W. Bush,2005-2009,9.05,2.24
Washington,Total Employment,Bush 2,George W. Bush,2005-2009,3.47,0.89
West Virginia,Real GDP,Bush 2,George W. Bush,2005-2009,4.42,1.09
West Virginia,Total Employment,Bush 2,George W. Bush,2005-2009,0.93,0.24
Wisconsin,Real GDP,Bush 2,George W. Bush,2005-2009,-1.7,-0.41
Wisconsin,Total Employment,Bush 2,George W. Bush,2005-2009,-1.91,-0.46
Wyoming,Real GDP,Bush 2,George W. Bush,2005-2009,25.06,5.9
Wyoming,Total Employment,Bush 2,George W. Bush,2005-2009,9.34,2.31
United States,Real GDP,Obama 1,Barack Obama,2009-2013,8.95,2.17
United States,Real Personal Income,Obama 1,Barack Obama,2009-2013,8.28,2.02
United States,Real PCE,Obama 1,Barack Obama,2009-2013,6.89,1.68
United States,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,4.87,1.2
United States,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.53,0.87
United States,Total Employment,Obama 1,Barack Obama,2009-2013,5.01,1.23
Alabama,Real GDP,Obama 1,Barack Obama,2009-2013,6.58,1.61
Alabama,Real Personal Income,Obama 1,Barack Obama,2009-2013,0.68,0.17
Alabama,Real PCE,Obama 1,Barack Obama,2009-2013,1.25,0.32
Alabama,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-1.52,-0.38
Alabama,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,-0.96,-0.24
Alabama,Total Employment,Obama 1,Barack Obama,2009-2013,1.75,0.44
Alaska,Real GDP,Obama 1,Barack Obama,2009-2013,-0.59,-0.08
Alaska,Real Personal Income,Obama 1,Barack Obama,2009-2013,12.92,3.15
Alaska,Real PCE,Obama 1,Barack Obama,2009-2013,12.63,3.04
Alaska,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.92,1.74
Alaska,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,6.66,1.63
Alaska,Total Employment,Obama 1,Barack Obama,2009-2013,4.23,1.04
Arizona,Real GDP,Obama 1,Barack Obama,2009-2013,7.73,1.88
Arizona,Real Personal Income,Obama 1,Barack Obama,2009-2013,10.61,2.56
Arizona,Real PCE,Obama 1,Barack Obama,2009-2013,10.21,2.46
Arizona,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.9,1.69
Arizona,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,6.52,1.59
Arizona,Total Employment,Obama 1,Barack Obama,2009-2013,4.42,1.1
Arkansas,Real GDP,Obama 1,Barack Obama,2009-2013,9.11,2.21
Arkansas,Real Personal Income,Obama 1,Barack Obama,2009-2013,5.57,1.4
Arkansas,Real PCE,Obama 1,Barack Obama,2009-2013,2.44,0.61
Arkansas,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,3.51,0.9
Arkansas,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.44,0.11
Arkansas,Total Employment,Obama 1,Barack Obama,2009-2013,1.71,0.43
California,Real GDP,Obama 1,Barack Obama,2009-2013,10.88,2.62
California,Real Personal Income,Obama 1,Barack Obama,2009-2013,11.99,2.88
California,Real PCE,Obama 1,Barack Obama,2009-2013,8.64,2.09
California,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,8.1,1.98
California,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,4.87,1.2
California,Total Employment,Obama 1,Barack Obama,2009-2013,7.47,1.83
Colorado,Real GDP,Obama 1,Barack Obama,2009-2013,9.37,2.27
Colorado,Real Personal Income,Obama 1,Barack Obama,2009-2013,14.08,3.35
Colorado,Real PCE,Obama 1,Barack Obama,2009-2013,7.39,1.81
Colorado,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.77,1.89
Colorado,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.44,0.37
