Year,State,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,18.52,4.35
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real Per Capita PCE,Trump,Donald Trump,2017-2021,11.97,2.92
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Total Employment,Trump,Donald Trump,2017-2021,4.53,1.13
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real GDP,Biden,Joe Biden,2021-2023,4.98,2.46
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real Personal Income,Biden,Joe Biden,2021-2023,-3.97,-1.99
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real PCE,Biden,Joe Biden,2021-2023,1.25,0.63
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real Per Capita Personal Income,Biden,Joe Biden,2021-2023,-5.06,-2.55
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Real Per Capita PCE,Biden,Joe Biden,2021-2023,0.1,0.06
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32,"OBAMA, BARACK H.",DEMOCRAT,38.74,Total Employment,Biden,Joe Biden,2021-2023,6.15,3.03
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real GDP,Obama 1,Barack Obama,2009-2013,-0.59,-0.08
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real Personal Income,Obama 1,Barack Obama,2009-2013,12.92,3.15
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real PCE,Obama 1,Barack Obama,2009-2013,12.63,3.04
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.92,1.74
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,6.66,1.63
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Total Employment,Obama 1,Barack Obama,2009-2013,4.23,1.04
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real GDP,Obama 2,Barack Obama,2013-2017,-1.97,-0.49
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real Personal Income,Obama 2,Barack Obama,2013-2017,1.46,0.4
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real PCE,Obama 2,Barack Obama,2013-2017,2.81,0.7
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,0.92,0.27
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,2.28,0.57
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Total Employment,Obama 2,Barack Obama,2013-2017,-1.23,-0.31
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real GDP,Trump,Donald Trump,2017-2021,-3.92,-0.97
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real Personal Income,Trump,Donald Trump,2017-2021,5.5,1.36
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real PCE,Trump,Donald Trump,2017-2021,4.57,1.19
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,6.51,1.61
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real Per Capita PCE,Trump,Donald Trump,2017-2021,5.57,1.42
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Total Employment,Trump,Donald Trump,2017-2021,-2.75,-0.65
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real GDP,Biden,Joe Biden,2021-2023,5.06,2.58
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real Personal Income,Biden,Joe Biden,2021-2023,1.44,0.72
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real PCE,Biden,Joe Biden,2021-2023,8.07,3.97
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real Per Capita Personal Income,Biden,Joe Biden,2021-2023,1.65,0.82
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Real Per Capita PCE,Biden,Joe Biden,2021-2023,8.29,4.07
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42,"OBAMA, BARACK H.",DEMOCRAT,37.89,Total Employment,Biden,Joe Biden,2021-2023,5.47,2.7
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real GDP,Obama 1,Barack Obama,2009-2013,7.73,1.88
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real Personal Income,Obama 1,Barack Obama,2009-2013,10.61,2.56
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real PCE,Obama 1,Barack Obama,2009-2013,10.21,2.46
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.9,1.69
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,6.52,1.59
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Total Employment,Obama 1,Barack Obama,2009-2013,4.42,1.1
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real GDP,Obama 2,Barack Obama,2013-2017,11.46,2.76
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real Personal Income,Obama 2,Barack Obama,2013-2017,18.42,4.32
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real PCE,Obama 2,Barack Obama,2013-2017,15.06,3.57
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,12.97,3.1
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.76,2.36
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Total Employment,Obama 2,Barack Obama,2013-2017,10.97,2.64
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real GDP,Trump,Donald Trump,2017-2021,18.59,4.38
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real Personal Income,Trump,Donald Trump,2017-2021,29.55,6.71
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real PCE,Trump,Donald Trump,2017-2021,20.52,4.9
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,22.56,5.24
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real Per Capita PCE,Trump,Donald Trump,2017-2021,14.01,3.47
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Total Employment,Trump,Donald Trump,2017-2021,9.22,2.24
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real GDP,Biden,Joe Biden,2021-2023,6.93,3.41
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real Personal Income,Biden,Joe Biden,2021-2023,-3.2,-1.55
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real PCE,Biden,Joe Biden,2021-2023,3.12,1.55
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real Per Capita Personal Income,Biden,Joe Biden,2021-2023,-5.27,-2.6
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Real Per Capita PCE,Biden,Joe Biden,2021-2023,0.92,0.46
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64,"OBAMA, BARACK H.",DEMOCRAT,45.12,Total Employment,Biden,Joe Biden,2021-2023,7.29,3.58
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real GDP,Obama 1,Barack Obama,2009-2013,9.11,2.21
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real Personal Income,Obama 1,Barack Obama,2009-2013,5.57,1.4
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real PCE,Obama 1,Barack Obama,2009-2013,2.44,0.61
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,3.51,0.9
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.44,0.11
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Total Employment,Obama 1,Barack Obama,2009-2013,1.71,0.43
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real GDP,Obama 2,Barack Obama,2013-2017,3.37,0.83
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real Personal Income,Obama 2,Barack Obama,2013-2017,11.79,2.83
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real PCE,Obama 2,Barack Obama,2013-2017,11.33,2.72
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,10.44,2.52
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.98,2.41
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Total Employment,Obama 2,Barack Obama,2013-2017,4.5,1.11
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real GDP,Trump,Donald Trump,2017-2021,10.96,2.67
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real Personal Income,Trump,Donald Trump,2017-2021,18.16,4.3
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real PCE,Trump,Donald Trump,2017-2021,11.25,2.75
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,16.69,3.97
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real Per Capita PCE,Trump,Donald Trump,2017-2021,9.87,2.43
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Total Employment,Trump,Donald Trump,2017-2021,2.72,0.69
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real GDP,Biden,Joe Biden,2021-2023,3.93,1.95
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real Personal Income,Biden,Joe Biden,2021-2023,2.56,1.27
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real PCE,Biden,Joe Biden,2021-2023,5.79,2.86
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real Per Capita Personal Income,Biden,Joe Biden,2021-2023,1.24,0.62
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Real Per Capita PCE,Biden,Joe Biden,2021-2023,4.44,2.2
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72,"OBAMA, BARACK H.",DEMOCRAT,38.86,Total Employment,Biden,Joe Biden,2021-2023,6.18,3.04
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real GDP,Obama 1,Barack Obama,2009-2013,10.88,2.62
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real Personal Income,Obama 1,Barack Obama,2009-2013,11.99,2.88
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real PCE,Obama 1,Barack Obama,2009-2013,8.64,2.09
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,8.1,1.98
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,4.87,1.2
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Total Employment,Obama 1,Barack Obama,2009-2013,7.47,1.83
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real GDP,Obama 2,Barack Obama,2013-2017,17.1,4.03
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real Personal Income,Obama 2,Barack Obama,2013-2017,18.15,4.27
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real PCE,Obama 2,Barack Obama,2013-2017,14.09,3.35
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,14.76,3.51
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,10.81,2.6
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Total Employment,Obama 2,Barack Obama,2013-2017,10.46,2.52
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real GDP,Trump,Donald Trump,2017-2021,15.09,3.62
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real Personal Income,Trump,Donald Trump,2017-2021,19.28,4.52
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real PCE,Trump,Donald Trump,2017-2021,11.99,3.0
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,20.13,4.71
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real Per Capita PCE,Trump,Donald Trump,2017-2021,12.79,3.19
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Total Employment,Trump,Donald Trump,2017-2021,1.63,0.45
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real GDP,Biden,Joe Biden,2021-2023,3.0,1.49
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real Personal Income,Biden,Joe Biden,2021-2023,-5.58,-2.74
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real PCE,Biden,Joe Biden,2021-2023,5.28,2.61
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real Per Capita Personal Income,Biden,Joe Biden,2021-2023,-5.15,-2.52
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Real Per Capita PCE,Biden,Joe Biden,2021-2023,5.77,2.84
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01,"MCCAIN, JOHN",REPUBLICAN,36.95,Total Employment,Biden,Joe Biden,2021-2023,6.21,3.06
2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Real GDP,Obama 1,Barack Obama,2009-2013,9.37,2.27
2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Real Personal Income,Obama 1,Barack Obama,2009-2013,14.08,3.35
2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Real PCE,Obama 1,Barack Obama,2009-2013,7.39,1.81
2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.77,1.89
2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.44,0.37
2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Total Employment,Obama 1,Barack Obama,2009-2013,6.09,1.5
2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Real GDP,Obama 2,Barack Obama,2013-2017,16.16,3.82
2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Real Personal Income,Obama 2,Barack Obama,2013-2017,17.56,4.15
2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66,"MCCAIN, JOHN",REPUBLICAN,44.71,Real PCE,Obama 2,Barack Obama,2013-2017,19.57,4.57
